Mecz,kolejka,sezon,data meczu,data sortowanie,miejsce rozgrywania,TSP,rywal,wynik,strzelcy,rozgrywki,frekwencja
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
